Date,S&P_500,Communication,Cons_Disc,Cons_Staples,Energy,Financials,Healthcare,Industrials,Info_Tech,Materials,Real_Estate,Utilities
2011-09-19,-0.009802551,-0.010604113,-0.000368942,-0.008891672,-0.014620645,-0.027413793,-0.008948897,-0.009776941,-0.000496944,-0.014313328,-0.021598101,-0.004631238
2011-09-20,-0.001661005,0.004952907,-0.0059388,0.001326763,-0.00616706,-0.002481829,0.008844884,-0.007094273,-0.003530055,-0.010132138,0.001778928,0.013493079
2011-09-21,-0.029390478,-0.020602731,-0.030175178,-0.017635182,-0.039791927,-0.049404656,-0.025830934,-0.040070713,-0.012872967,-0.045,-0.05238518,-0.017215655
2011-09-22,-0.031883164,-0.01814882,-0.032854209,-0.01878673,-0.052979567,-0.029849816,-0.021196572,-0.037753223,-0.03189446,-0.054973822,-0.025979557,-0.018042742
2011-09-23,0.006082014,0.007057637,0.016157472,-0.001080055,-0.00776992,0.011562179,0.001893835,0.010287081,0.010416123,-0.003501803,0.010144294,0.009752037
2011-09-26,0.023336237,0.015100951,0.02174375,0.018118672,0.03556756,0.044132588,0.01575213,0.024942774,0.012840718,0.030997587,0.014890486,0.008303398
2011-09-27,0.010688336,0.011917482,0.007971718,0.006404068,0.015079783,0.004074682,0.014590863,0.016095495,0.011121882,0.02045073,0.006653587,0.002511389
2011-09-28,-0.020691181,-0.006254061,-0.016505055,-0.017363221,-0.030057005,-0.029073289,-0.017251921,-0.024101864,-0.014052172,-0.044917493,-0.025167359,-0.009146519
2011-09-29,0.00811426,0.008336739,-0.008530872,0.009860072,0.013958148,0.028384279,0.007492562,0.014328984,-0.00399171,0.00020879,0.015820584,0.015286924
2011-09-30,-0.024974147,-0.01102375,-0.028387051,-0.011665002,-0.027839375,-0.0351835,-0.012725857,-0.032885418,-0.028413616,-0.03689594,-0.030891665,-0.011060922
2011-10-03,-0.028450973,-0.018113269,-0.028853482,-0.014704444,-0.032837237,-0.045268783,-0.031626465,-0.030005542,-0.0225548,-0.025846654,-0.042207506,-0.023189085
2011-10-04,0.022488469,0.005509182,0.031056133,0.007015222,0.031523643,0.04102733,0.0098287,0.025791707,0.021343938,0.036544666,0.03715313,-0.00461603
2011-10-05,0.017865563,-0.002988544,0.018376889,0.002103049,0.033389926,0.012019231,0.016101224,0.021920751,0.023599523,0.041803059,-0.005422222,0.000301132
2011-10-06,0.018303716,0.005578684,0.022351936,0.01023085,0.01592552,0.032254032,0.010673527,0.021489469,0.016896962,0.025239518,0.026543927,0.01613583
2011-10-07,-0.0081633,-0.003394883,-0.001740705,0.00577772,-0.012225888,-0.036696137,-0.001299791,-0.004649567,-0.005292756,-0.015273312,-0.027598816,0.004147657
